x_ifp_mocap,y_ifp_mocap,x_ifp_exo,y_ifp_exo,x_ifd_mocap,y_ifd_mocap,x_ifd_exo,y_ifd_exo,x_tip_mocap,y_tip_mocap,x_tip_exo,y_tip_exo
0.0489841262937444,0.001247145235527305,0.04730409558939096,0.013379044780538262,0.07496727714027682,0.0021830256158866922,0.07284292023880708,0.008503756529944756,0.09894469138171481,0.00322398973365757,0.0956818101427829,0.015878382483447123
0.04898187682019953,0.0013325701372912371,0.04713852130674921,0.013943547820837354,0.074963347163912,0.0023139970468415987,0.07273185070280537,0.009362992131298441,0.09893889294213914,0.003397142760092781,0.09548428742795641,0.01700017898694092
0.04897589389312228,0.0015368205391744576,0.04696848969644543,0.014498646127425588,0.07494975014346299,0.0027024926571548582,0.07261216434167105,0.010208896637092596,0.09891439727398746,0.004004678477015289,0.09527652930434533,0.018103613911238797
0.04896469102457888,0.0018598475387850075,0.04679428019901284,0.015044363987637775,0.07492204906673458,0.003348324435258135,0.0724842896868958,0.011041438493391929,0.09886192064829206,0.0050461314497730995,0.09505910995369159,0.01918867667095038
0.048945917656342555,0.002301552688628841,0.046616164973047956,0.015580735903382482,0.07487272613556253,0.004251065982209329,0.07234864659808736,0.011860602919602368,0.0987651974103354,0.00652038667002606,0.09483259084599695,0.02025537814332893
0.04891636058225417,0.0028617594914476293,0.046434408693117046,0.016107805936330797,0.07479119488773842,0.005409886188402665,0.07220564581504474,0.01266639093587306,0.09860102346522649,0.008425191000628465,0.09459752023408234,0.021303749328463316
0.0488719466040605,0.003540174449071607,0.04624926838824314,0.016625627065570053,0.07466382508483507,0.006823313866299767,0.07205568857575324,0.013458818402946035,0.09833934849189237,0.010756454011512255,0.0943544327346061,0.022333840033230933
0.048807747081640165,0.0043363377191642264,0.04606099331844052,0.017134260559875936,0.07447398834681512,0.008488934414947505,0.07189916629665574,0.014237915078441053,0.09794344870310939,0.013507343583631527,0.0941038489901755,0.0233457175839911
0.04872144728193717,0.005217334065729088,0.045869824886747394,0.01763377536645407,0.0742130725310232,0.010333684538493742,0.07173646031146245,0.01500372369303106,0.09739371471217428,0.01655122650211888,0.09384627540713222,0.02433946557224416
0.04860086022170285,0.006241505083751971,0.04567599658421437,0.01812424751771696,0.07384143934269725,0.012479546894835103,0.07156794166471517,0.015756299049457967,0.0966042749966817,0.020085683429876714,0.09358220396360147,0.025315182636772585
0.04843795298122077,0.007400318303224922,0.045479733965334765,0.018605759557393874,0.07333277756385521,0.014900165568327055,0.0713939709563175,0.016495707146864342,0.09551854843205305,0.024053939160885714,0.09331211208245598,0.026272981285123807
0.04822500191621805,0.00868039113063262,0.045281254651449665,0.01907839998702268,0.07266067733785583,0.01756283261303862,0.07121489823327598,0.017222024332474706,0.09407950370478697,0.028390292013251356,0.0930364625639544,0.02721298675668904
0.04795641306248466,0.010058948562367293,0.045080768359722065,0.01954226273364141,0.07180590364057474,0.02041277873122714,0.07103106292495942,0.01793533648224971,0.0922469222670716,0.03298913581550271,0.09275570357295901,0.028135335929077347
0.047630396467239274,0.011504144139117904,0.0448784769553506,0.019997446639284377,0.07076224715472515,0.023375011157657846,0.07084279381827631,0.018635738211760122,0.09001051931825656,0.03771042251271223,0.09247026867581451,0.02904017626898131
0.04725075840478822,0.012975585927900737,0.044674574524778285,0.0204440549726961,0.06954260058308608,0.026357430804369027,0.07065040906928098,0.01932333211818673,0.08740295536001866,0.04238889135049836,0.09218057692217099,0.02992766482828127
