Theta_MCP,Theta_PIP,Theta_DIP
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.07043775510203432,0.0,0.0
0.14638061224489718,0.0,0.0
0.35046224489795463,0.0,0.0
0.5545438775510192,0.0,0.0
0.6429836734693808,0.00682334494773329,0.0
0.8199132653061199,0.09016968641115142,0.0
1.011574489795919,0.27905714285714467,0.0
1.1136153061224476,0.43790217770035156,0.0
1.3097040816326597,0.8881222996515703,0.0
1.486596938775513,1.6882431184669002,0.0
1.6770826530612268,2.9421961672473884,0.0
1.7791234693877556,3.7613297038327573,0.030383267382702694
1.9832051020408201,5.817458275261327,0.31188875070661437
2.116840816326537,8.116844250871083,0.6447798191068408
2.142857142857153,9.266672822299654,0.8338729790842292
2.142857142857153,11.591576655052272,1.2900760316563038
2.142857142857153,14.224502613240425,1.9736505370265696
2.142857142857153,15.694235627177711,2.3971183154324476
2.142857142857153,19.050532926829277,3.489986828716789
2.142857142857153,22.894591898954722,4.929378518937254
2.142857142857153,27.156327526132422,6.669773996608255
2.142857142857153,29.46104085365856,7.652916393442625
2.142857142857153,34.08543196864113,9.682429960429623
2.142857142857153,38.32732317073173,11.753923742227247
2.142857142857153,40.189910278745664,12.793273600904465
2.142857142857153,43.35460714285717,15.051591181458452
2.142857142857153,46.092175958188186,17.542192198982477
2.142857142857153,47.416656794425116,18.8142176370831
2.142857142857153,49.9307761324042,21.370231204070098
2.142857142857153,52.09257491289201,23.683843414358396
2.142857142857153,52.99841811846692,24.704180327868855
2.142857142857153,54.5559242160279,26.523401356698702
2.142857142857153,55.83880313588852,27.99250876201244
2.142857142857153,56.937630662020915,29.1450293951385
2.142857142857153,57.44826132404183,29.605565291124933
2.142857142857153,58.407979965156805,30.346622385528555
2.142857142857153,59.287869337979124,31.061720180893168
2.142857142857153,59.693322299651605,31.420345392877337
2.142857142857153,60.4420679442509,32.16003222159413
2.142857142857153,61.1102073170732,32.902710570944045
2.142857142857153,61.42003745644602,33.238360655737715
2.142857142857153,61.96973606271779,33.77354381006219
2.142857142857153,62.44780139372826,34.16917580553986
2.142857142857153,62.92357491289203,34.50325833804409
2.142857142857153,63.173033972125474,34.667397964951945
2.142857142857153,63.67224738675963,35.04137365743358
3.043263265306166,64.14061411149831,35.455659129451675
3.9791561224490195,64.31326567944257,35.6448615036744
6.1441653061224955,64.52339895470391,35.97686602600339
8.389498979591892,64.62055313588857,36.21602204635388
9.512029591836786,64.63414634146349,36.29019332956473
11.81051326530617,64.63414634146349,36.37652176370831
14.33971224489801,64.63414634146349,36.404748445449414
17.066001020408223,64.63414634146349,36.404748445449414
18.469424489795976,64.63414634146349,36.404748445449414
21.285444897959245,64.63414634146349,36.404748445449414
23.69232959183679,64.63414634146349,36.404748445449414
24.714865306122498,64.63414634146349,36.404748445449414
26.46001428571433,64.63414634146349,36.404748445449414
27.79796836734699,64.63414634146349,36.404748445449414
28.39586530612251,64.63414634146349,36.404748445449414
29.385315306122486,64.63414634146349,36.404748445449414
30.130083673469436,64.63414634146349,36.404748445449414
30.75349285714291,64.63414634146349,36.404748445449414
31.04042448979596,64.63414634146349,36.823537591859804
31.695852040816384,64.63414634146349,37.91683663086489
32.44415510204086,64.63414634146349,39.354201243640475
32.79663673469391,64.63414634146349,40.13922950819672
33.42014693877554,64.63414634146349,41.800200678349356
33.934752040816356,64.63414634146349,43.473517806670436
34.151280612244925,64.63414634146349,44.31030582249859
34.532289795918395,64.63414634146349,45.991995477671004
34.91323877551023,64.63414634146349,47.63375918598078
35.103712244897984,64.63414634146349,48.423149802148096
35.41420102040819,64.63414634146349,49.788444884115314
35.615862244898004,64.63414634146349,50.87674901074052
35.70868673469392,64.63414634146349,51.823946862634244
35.71428571428576,64.63414634146349,52.25196608253248
35.71428571428576,64.63414634146349,53.09488920293949
35.71428571428576,64.63414634146349,53.93804861503673
35.72889591836739,64.63414634146349,54.359808366308634
35.839687755102084,64.63414634146349,55.20291577162237
36.038018367346986,64.63414634146349,56.04718541548896
36.14005918367351,64.63414634146349,56.46933126059919
36.32953061224493,64.63414634146349,57.31462125494629
36.4228204081633,64.63414634146349,58.20582306387789
36.428571428571466,64.63414634146349,59.148626342566416
36.428571428571466,64.63414634146349,59.60849406444318
36.428571428571466,64.63414634146349,60.48080497456189
36.428571428571466,64.63414634146349,61.264265686828715
36.428571428571466,64.63414634146349,61.62280610514414
36.428571428571466,64.63414634146349,62.3177416619559
36.428571428571466,64.63414634146349,63.01922159412097
36.428571428571466,64.63414634146349,63.36532334652346
36.428571428571466,64.63414634146349,63.97076653476541
36.428571428571466,64.63414634146349,64.42591464104012
36.428571428571466,64.63414634146349,64.79382419446014
36.428571428571466,64.63414634146349,64.95524081401922
36.428571428571466,64.63414634146349,65.27930016958733
36.428571428571466,64.63414634146349,65.60345449406444
36.428571428571466,64.63414634146349,65.7534946297343
36.428571428571466,64.63414634146349,66.00829055963821
36.428571428571466,64.63414634146349,66.2192651215376
36.428571428571466,64.63414634146349,66.32473544375354
36.428571428571466,64.63414634146349,66.53578971170154
36.428571428571466,64.63414634146349,66.70773318258905
36.428571428571466,64.63414634146349,66.79825098925949
